on road old,on road now,years,km,rating,condition,top speed,current price
666094,871905,6,104220,3,9,198,378132.50
652544,783771,7,83487,4,5,141,378071.50
548859,804414,5,74791,5,2,147,377706.50
502281,759393,7,61910,5,4,162,377108.50
601462,700177,3,69779,4,6,176,376267.50
576777,713090,7,72730,1,9,183,375370.50
672595,758004,2,87199,1,7,149,375097.50
573767,863639,4,87427,1,6,151,372595.50
518767,854572,5,80054,4,6,186,369571.50
522401,757454,4,68294,5,4,163,368522.50
549638,801815,4,77441,5,4,173,367734.50
595792,780647,2,80464,3,3,200,366878.50
583979,711820,2,71716,2,6,163,365136.50
640205,750816,2,87383,5,8,197,364155.50
522690,700733,3,62161,1,2,170,363186.50
688832,874570,6,104427,4,5,159,362434.50
548369,717441,5,67836,4,1,174,360737.50
579272,705431,6,69640,4,2,170,360647.50
545595,717327,5,81284,5,10,152,356606.50
647470,756235,6,88184,4,7,141,354409.50
580419,730826,3,88396,3,10,176,352318.50
616026,731088,2,80503,1,4,168,352284.50
621793,855595,7,98931,4,8,162,351704.50
535651,798186,3,78945,1,2,177,351318.00
527637,867907,2,87096,5,2,147,351201.50
534765,771066,6,78783,3,8,165,350647.50
519972,887661,2,90429,5,6,137,347784.50
585809,708970,5,76096,5,5,162,344820.50
631301,819564,4,99320,3,8,161,344405.50
596236,840187,4,94388,2,6,162,344339.50
620963,829511,3,95513,2,3,153,343416.50
539063,853655,5,95921,2,9,195,340961.50
552852,893431,2,95757,3,2,137,340429.50
520571,709408,3,81850,5,10,144,339335.50
530050,736198,2,74905,4,6,169,338141.50
577821,762633,2,87661,1,8,150,336181.50
694702,767448,6,98217,2,4,190,335093.50
571728,707666,4,78673,4,7,179,333655.50
605017,835653,4,98980,4,7,146,333091.50
598876,819161,6,100630,3,9,166,332478.50
507001,845327,2,87506,5,6,185,331819.50
636134,747539,7,90585,5,7,176,331263.50
529515,729234,5,74320,2,3,144,330908.50
612101,852032,2,101865,5,6,195,330281.50
689781,750728,5,97874,5,4,142,329538.50
551204,716632,3,76306,2,3,161,328973.50
503856,768757,3,77675,3,5,161,327454.50
572777,736355,2,83022,4,6,179,327075.50
568150,763196,3,92412,4,9,138,326161.50
528703,855562,3,92369,5,4,176,324899.50
523291,841204,3,90252,2,5,197,322951.50
531988,816682,7,99340,5,10,143,320391.50
589508,737952,3,87920,5,6,182,317681.50
676638,735838,5,97013,3,3,180,317168.50
656130,716423,3,92903,4,5,162,316827.50
593197,834788,6,100726,4,7,187,316387.50
553351,747014,7,81955,5,3,190,315914.50
650030,708684,7,89225,5,2,181,315866.50
511487,849844,2,92230,1,6,196,315841.50
623187,851197,6,111922,3,9,193,315542.50
669082,883158,3,115617,5,3,151,315403.50
629323,711938,7,87618,5,5,161,315131.50
546807,806720,6,97044,3,9,177,314576.50
691381,856771,7,112884,1,3,156,314523.50
532232,777524,7,84252,2,6,164,313619.50
659247,838504,2,113230,4,8,146,313095.50
509826,840086,7,92567,3,8,191,313049.50
506701,848062,7,96596,3,9,192,312454.50
623627,728146,7,91095,4,7,161,312323.50
542995,722081,4,80070,3,2,159,312164.50
658016,865597,4,112697,4,4,142,311773.50
617893,728235,5,91030,4,4,163,308643.50
616858,777197,7,95246,4,2,193,308376.50
509560,898476,7,97061,4,3,176,308220.50
551965,834998,4,97132,5,5,138,307770.50
640187,859754,2,110828,1,3,179,306982.50
543149,790766,4,90509,4,5,143,306745.50
512111,836145,5,91811,2,2,173,305652.50
570570,818218,6,96565,4,2,166,305002.50
639010,835484,5,107869,4,1,165,304923.50
685935,784038,5,111461,2,8,142,304216.50
655721,806559,5,106474,3,2,197,304104.50
629081,835860,5,107058,2,4,189,303506.50
653115,828452,3,109500,2,2,149,302929.50
517894,840944,4,98173,2,8,184,302878.50
611487,716452,2,90604,3,3,198,302011.50
569576,801880,2,96472,4,4,147,301081.50
585740,843726,5,107592,5,8,139,301042.50
591834,765751,5,94365,1,4,194,300499.50
661284,884211,3,120926,5,7,166,299129.50
632262,725839,5,98776,1,8,157,299019.50
537109,883382,7,105503,3,8,177,296565.50
634234,882393,4,115760,1,4,145,295553.50
555055,885685,4,106209,3,1,184,295406.50
589240,746731,7,103849,2,10,150,294502.50
534796,852477,2,101958,2,7,135,294378.50
645596,719594,3,97328,4,2,154,293875.50
637577,744443,5,99114,3,2,189,293424.50
568614,791824,5,98691,2,7,160,292520.50
669458,782853,7,106819,2,5,164,292308.50
557699,879964,7,105139,5,3,197,291815.50
634647,794081,2,105836,1,4,175,291776.50
503327,873403,7,101416,3,8,171,291031.50
638462,846877,6,119862,4,9,143,289570.50
634610,726256,4,105279,4,9,158,289049.50
687237,843143,6,125638,1,9,143,288556.50
566392,823362,6,101287,5,1,140,287588.50
652922,841193,4,115323,2,5,142,287093.50
587138,899702,3,114156,1,2,182,286937.50
591911,861056,6,117220,5,9,148,285001.50
663565,748355,7,104233,1,6,156,284727.50
631148,760171,5,103827,5,6,151,284462.50
523773,754405,4,89677,3,6,142,284094.50
651702,832560,5,114604,4,4,185,283435.50
542761,830535,6,104526,5,8,188,282821.50
637691,717652,2,98880,2,3,195,282496.50
504448,857236,2,100091,3,5,199,282418.50
536149,822452,7,98529,3,6,143,281037.50
528409,796046,3,108126,2,10,167,279833.50
670488,831110,6,118013,1,6,151,278993.50
541483,715243,3,87442,2,1,161,278759.50
650901,817094,2,114705,5,2,176,276960.50
697488,887714,2,130004,3,6,198,276805.50
699023,838654,7,122196,1,6,194,275837.50
658253,796313,5,113147,3,5,189,275045.50
592277,878871,4,122589,1,9,200,274453.50
583560,882426,4,115576,2,6,195,274357.50
685511,806008,2,122212,3,8,143,273674.50
546978,783926,6,101139,1,8,200,273659.50
662770,794619,4,113901,2,1,139,272816.50
565576,894746,7,112910,4,5,171,272437.50
624078,781798,3,110247,4,7,140,271010.50
658513,734546,6,105989,3,4,149,269532.50
621407,891049,5,121739,3,3,166,268200.50
648198,858419,2,125519,3,8,185,267953.50
650490,701339,7,100619,3,5,156,266983.50
616528,818206,5,125066,1,10,152,265799.50
668839,802272,6,117221,5,2,187,264576.50
629149,883496,6,123166,3,6,191,264084.50
557000,886734,3,117072,1,7,162,262126.50
622089,815583,7,113889,5,5,150,258268.50
620214,899611,7,124062,4,5,186,257565.50
543337,731550,4,95556,5,1,150,256476.50
675812,834425,6,124754,1,6,198,256331.50
645485,702547,2,104980,2,5,181,255901.50
505728,749773,5,100534,1,9,137,253853.50
537143,873326,4,114966,2,7,178,253530.50
570874,753259,5,109579,5,9,135,253476.50
633666,806052,7,115176,5,2,152,252549.50
580102,753682,2,103972,2,2,196,251317.50
545000,842756,7,109021,4,3,197,250309.50
545669,718201,7,95728,4,7,199,249765.50
600989,848763,4,119596,5,4,153,248248.50
633523,784190,4,128006,5,10,149,248119.50
657060,727137,2,111290,1,3,183,247277.50
695207,868118,6,133211,3,4,155,245854.50
592383,826939,3,116569,4,5,189,245594.50
573999,722381,4,101065,4,3,197,244295.50
533865,710103,2,94501,1,3,158,244287.50
599401,820027,5,116362,4,3,175,243565.50
581130,891071,6,122255,3,2,135,243549.50
570018,758728,3,112885,4,9,160,243006.50
508483,788651,3,101657,3,4,178,242709.50
699859,879210,5,136497,1,1,191,242273.50
602722,834949,4,119131,1,3,181,242173.50
588507,872216,2,124399,3,7,159,241487.50
553494,835428,5,113365,4,3,156,240353.50
546458,825190,3,115636,4,8,142,240296.50
614542,769732,2,113210,3,3,191,239815.50
685661,870402,6,146425,1,10,149,238638.50
546212,886437,2,120388,3,3,151,235251.50
505023,775163,3,113884,3,10,178,234835.50
516828,714462,3,97538,3,7,198,234142.50
506146,769776,6,100400,1,3,195,232826.50
687246,787754,2,126760,5,4,165,232718.50
545819,826738,7,124033,4,10,146,232526.50
547027,782602,2,108683,4,4,152,231291.50
684369,829557,2,131804,2,4,144,230428.50
624057,712356,5,113301,1,8,162,230090.50
556014,776692,6,108315,3,3,165,229749.50
662468,874591,7,133038,3,4,184,228892.50
533969,825531,4,113637,2,6,162,228875.50
536331,747386,2,103983,3,5,159,227845.50
676112,791580,2,139535,3,10,199,226087.50
512510,708150,5,96357,4,5,181,225669.50
661027,729123,6,117727,4,6,200,224958.50
632794,734480,7,120138,3,9,155,224533.50
524970,845639,6,126851,3,10,182,224359.50
661147,880541,3,136795,1,1,167,223778.50
521859,707939,5,97557,3,3,194,223594.50
615930,767273,5,124225,4,9,145,223369.50
510141,738380,3,100966,1,5,157,222063.50
579669,760038,6,123580,3,10,144,221972.50
576412,749928,4,114468,2,8,137,221412.50
537738,823031,2,115870,3,6,137,221132.50
549326,784319,5,111631,4,1,136,219462.50
695972,709209,4,120970,1,4,151,218983.50
609167,759772,3,118604,3,7,137,218665.50
501569,832080,6,115822,4,8,188,216831.50
511005,817238,2,113558,5,6,144,215633.50
686990,770762,2,132538,2,8,181,215386.00
698493,747571,2,127410,3,1,177,213768.50
587327,780473,2,118664,5,5,137,212553.50
589273,790301,5,119377,1,5,141,212546.50
541464,752239,3,112964,2,8,155,211528.50
576916,724215,7,120456,3,10,182,210777.50
556598,849902,4,130514,3,9,189,210661.50
643044,853932,3,139489,5,8,167,208573.50
513645,798283,2,124499,1,10,181,208189.50
552280,898290,2,129891,5,2,144,207480.50
625747,780263,5,125694,2,7,155,207352.50
635763,822326,3,130540,1,1,159,206999.50
668817,784845,5,129661,1,1,147,206883.50
573279,761659,3,115714,4,5,140,206836.50
598889,850999,3,129721,3,2,146,206335.50
621011,769323,6,122677,5,6,196,206296.50
674051,708919,2,121615,4,1,163,205716.50
507180,872051,7,121255,2,7,192,204833.50
617740,730220,2,121698,1,8,156,203811.50
530907,789020,4,115304,4,6,173,202883.50
572446,870038,3,132274,4,7,147,201188.50
598238,851789,4,131374,5,2,181,200794.50
603780,763791,7,118943,2,4,150,200408.50
655253,874106,4,141405,4,2,197,199313.50
650874,828284,3,143076,5,9,169,198511.50
601147,761283,6,122209,4,7,167,197714.50
614503,831616,7,129507,2,4,163,197430.50
547769,887499,7,135791,5,9,143,197377.50
573043,879481,2,132347,2,3,200,197266.00
642521,870335,6,139432,5,1,168,196639.50
607575,812966,3,129779,1,5,169,192853.50
554382,765841,3,119539,4,7,142,190956.50
591763,825070,7,128694,5,5,165,188582.00
506788,855417,2,123317,2,2,180,188131.50
656169,764735,4,130980,1,3,200,186388.50
691439,751561,5,133840,1,5,141,186356.50
663877,712781,4,125669,1,3,153,185485.50
678056,863982,5,146214,2,2,155,184900.50
520307,858444,7,125057,5,5,150,184092.50
576829,805870,7,137368,3,10,168,183833.50
569918,882960,6,139060,4,8,145,183465.50
561292,892767,2,138370,2,7,169,182219.50
520389,757603,3,126940,1,10,194,181428.50
582950,797342,7,137660,2,10,189,181414.50
624433,875297,6,141733,1,5,155,180891.50
654498,764645,4,136691,5,8,155,180476.50
546523,719590,6,113621,5,6,199,180368.50
506504,700428,4,105905,3,1,160,179711.50
647422,750774,2,132215,3,7,137,178991.50
640520,751024,4,129251,2,3,142,178642.50
511480,707187,7,106846,4,6,145,178180.50
650007,844846,6,148846,2,9,138,177933.50
697680,705256,7,129855,2,6,157,177748.50
509580,768883,4,123140,5,9,162,177509.50
568040,877489,5,136622,2,3,164,175102.50
557758,774611,5,122976,5,4,179,175012.50
633198,860423,3,147282,3,8,169,174352.50
622660,741192,6,126380,3,1,145,172859.50
542393,735671,2,116626,2,1,143,172758.50
591776,876192,4,148138,5,9,179,172234.50
630266,706950,6,130732,4,9,135,172032.50
610246,867049,5,145711,3,8,194,170960.50
536280,724335,7,113232,2,5,199,170838.50
698284,763217,5,147599,5,9,163,170104.50
525901,756923,7,116289,1,5,145,169674.50
636153,720593,2,127404,1,3,144,169125.50
574353,884315,2,140286,2,4,172,168940.50
507983,761811,3,116587,3,2,169,168854.50
684983,717859,2,133843,3,5,141,167978.50
521447,724511,2,114405,5,3,179,167281.50
625048,731255,5,129866,1,7,171,165741.50
616223,800466,4,143238,1,9,194,164649.50
647221,850294,3,147460,5,2,152,160597.50
670970,700746,4,135574,4,8,156,160150.50
662454,822625,4,145796,4,1,176,159614.50
552309,750321,6,134717,4,10,164,159309.50
523637,816084,7,127042,5,6,135,158951.50
650744,873169,7,148764,1,2,170,158741.50
636955,743814,3,133456,5,2,182,158250.50
524473,772232,3,124833,4,7,197,158031.50
617090,734310,5,142275,5,10,185,156825.50
542170,768901,2,133005,3,9,189,153381.50
642181,766390,2,138175,1,5,193,153375.50
659900,731637,4,135529,2,1,154,153371.50
679527,810855,3,148234,1,4,191,152879.50
561891,842409,3,140023,5,7,174,152125.50
502131,807383,5,125450,2,3,188,151836.50
682076,793665,3,148100,5,6,151,151080.50
637719,811720,6,142975,4,4,164,150234.50
583537,836469,2,142195,2,7,136,149899.50
592057,726915,6,127668,2,6,188,149141.50
620996,828982,4,143998,1,1,169,148734.50
661301,714269,4,135652,4,4,140,145898.50
593544,844333,2,144322,3,6,180,145880.50
547286,707757,5,120623,1,4,172,144272.50
586019,808068,2,140760,5,7,167,144191.50
582475,864607,5,147580,5,7,169,141833.50
642206,724236,6,135473,5,5,158,140798.50
616614,828422,6,144644,4,1,165,140796.50
519144,886024,6,139685,2,2,163,140216.50
577168,735086,3,141554,1,10,178,140061.50
674940,790118,6,149285,5,6,147,137169.50
696090,767740,5,149234,5,5,199,136824.50
657245,778167,7,145102,1,6,174,133006.50
567129,754655,5,132856,1,6,136,132026.50
628266,719938,4,136468,1,6,195,131893.50
531436,700159,4,121583,4,4,196,130233.50
564077,767455,6,133023,1,3,186,130112.50
640509,749893,5,143410,1,7,179,128632.50
663985,748107,3,146540,3,7,164,128489.50
648262,780132,4,147265,5,4,181,126957.50
532317,745223,3,132129,2,8,200,126791.50
503255,742573,5,126362,5,7,140,126070.50
590078,746933,5,147994,4,10,146,125721.50
572094,714521,4,129978,5,3,169,124847.50
542922,731562,4,128326,4,2,145,124183.50
516722,865589,4,141800,1,2,197,123719.50
631967,806929,3,149565,5,1,151,122843.50
673588,755102,6,147206,3,4,193,122567.50
529761,776002,6,132152,1,5,144,122225.50
554928,730625,5,129991,3,4,168,122139.50
565310,700018,7,130004,1,8,163,120869.50
565733,731851,5,132105,1,5,152,120583.50
588774,756503,5,137960,4,3,197,120092.50
563132,805585,2,148957,3,9,139,118348.50
558209,767363,3,140885,4,8,151,116254.50
587586,740933,3,137631,2,5,176,115462.50
560976,719003,7,130523,5,5,187,112864.50
648791,740200,6,145066,4,2,145,111175.50
575187,720321,2,134678,5,1,191,110883.50
512312,779578,2,133956,2,2,189,110359.50
600416,779302,3,144945,2,1,192,110229.50
581950,739722,3,138715,1,6,159,110021.50
514779,759061,4,132690,2,6,172,109828.50
568395,831705,6,147297,5,3,156,108921.50
553776,720207,2,139638,2,9,164,108223.50
620809,760522,2,146254,3,5,151,107500.50
529187,741327,7,131076,4,6,136,107147.50
527694,841596,3,145806,1,6,190,105427.50
602737,717237,2,143242,3,8,160,103742.50
579087,734380,7,140740,3,8,176,102144.50
646220,702366,4,145992,2,7,182,98489.50
675458,713650,5,149729,3,6,154,98311.50
521785,701108,7,127229,1,6,175,98242.50
533558,847175,5,148077,2,4,182,97280.50
534259,703802,5,134781,4,8,155,95533.50
641477,712485,7,144949,5,6,151,94467.50
501908,771448,5,135572,3,2,164,93190.50
516158,778450,7,145395,3,9,188,87234.50
568019,713735,5,140488,2,6,149,81507.50
644771,702884,6,147932,4,1,164,78924.50
520244,753767,4,142396,5,4,200,69231.50
513733,806198,6,147741,3,1,158,65467.50
528256,773069,6,148374,2,7,137,61928.50
506115,785062,6,147129,2,1,167,53470.50
553193,713245,7,144691,3,4,144,46920.50
509814,747248,6,149191,1,3,184,28226.50
